WORK_CATEGORY,ACTIVITY_NAME,STATE_NAME,HOUSE_OF_PARLIAMENT,IDA_NAME,TENURE,MP_NAME,WORK_DESCRIPTION,RECOMMENDATION_DATE,RECOMMENDED_AMOUNT,FLAG,CONSTITUENCY_ID,WORK_STAGE,LETTER_NO,SANCTION_AMOUNT,Sno,CONSTITUENCY,WORK_RECOMMENDATION_DTL_ID,FILE_STATUS,TENURE_START_DATE,TENURE_END_DATE,ATTACH_ID,SANCTION_DATE,Total_Amt,WORK_ID,ACTUAL_AMOUNT,ACTUAL_END_DATE,AVERAGE_RATING,VENDOR_NAME,VENDOR_ID,IA_NAME,FUND_DISBURSED_AMT,WORK_STATUS,days_to_sanction,days_since_recommendation,days_to_complete,is_completed_flag,SANCTION_FY,RECOMMENDATION_FY,FY,RECIPIENT_TYPE,IS_TRIBAL_TRUST,IS_SC_AREA,IS_ST_AREA,rule_violations,rule_score,classified_activity,physical_scale_item,physical_scale_units,evaluated_cost_amount,cost_anomaly_score,cost_anomaly_flag,cost_anomaly_method,category_median,category_sample_size,cost_anomaly_reason,is_duplicate_candidate,duplicate_candidate_score,fast_track_flag,duplicate_score,duplicate_typology,duplicate_paired_with,duplicate_reason_raw,risk_index,primary_anchors,signal_type_count,tier,is_tier2,tier_level,reasons,tier_promotion_reason
Normal/Others,WS/MP672/2024-2025/136731-Lighting of public spaces,Maharashtra,2.0,NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA),18th Lok Sabha,Nitin Jairam Gadkari,"Installation of Highmast light and electric poles with light at Gosavi Ghat, Binaki, Nagpur",2024-08-22,999600.0,1.0,250.0,Work Completed,LN/MP672/2024-2025/53,999600.0,1.0,NAGPUR,136731.0,True,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",667113.0,2024-08-23,,58856.0,963514.0,2024-08-23,0.0,Ansari Electricals,31308.0,Executive Engineer Electrical Nagpur Muncipal Corporation,963514.0,Payment Success,1.0,758,0.0,True,2024-25,2024-25,2024-25,Government Agency,False,,,"[{'rule_id': 'D4', 'description': 'Just-below-threshold budget positioning (within 1-2% or â‚¹2,000 below key round slabs â‚¹1L, â‚¹10L, â‚¹25L, â‚¹50L, â‚¹1Cr) â€” potential approval ceiling or procurement threshold evasion', 'weight': 15}]",15,LIGHTING_AND_ELECTRICAL,,,999600.0,,False,not_evaluated,,0,,False,0.0,True,,,,,37.5,['FAST_TRACK_SANCTION'],2,tier_2,True,Tier 2 (Actionable Red Flag),"['Just-below-threshold budget positioning (within 1-2% or â‚¹2,000 below key round slabs â‚¹1L, â‚¹10L, â‚¹25L, â‚¹50L, â‚¹1Cr) â€” potential approval ceiling or procurement threshold evasion', ""Sanctioned in 1.0 days — unusually fast relative to this district's own typical timeline""]","Just-below-threshold budget positioning (within 1-2% or â‚¹2,000 below key round slabs â‚¹1L, â‚¹10L, â‚¹25L, â‚¹50L, â‚¹1Cr) â€” potential approval ceiling or procurement threshold evasion; Sanctioned in 1.0 days — unusually fast relative to this district's own typical timeline"
Normal/Others,WS/MP672/2024-2025/144101-Purchase of hospital equipment,Maharashtra,2.0,NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA),18th Lok Sabha,Nitin Jairam Gadkari,"Upgrading of Prosthetic & Orthotics unit at CRC, Nagpur.",2024-09-27,152300.0,1.0,250.0,Work Completed,LN/MP672/2024-2025/54,152300.0,2.0,NAGPUR,144101.0,True,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",754822.0,2024-09-30,,65289.0,152300.0,2024-10-04,0.0,Pro Ortho Perfect India Pvt Ltd,32458.0,"Composite Regional Centre, Nagpur_2",152300.0,Payment Success,3.0,722,4.0,True,2024-25,2024-25,2024-25,Government Agency,False,,,[],0,HEALTH_AND_ASSISTIVE_DEVICES,,,152300.0,,False,not_evaluated,,0,,False,0.0,True,,,,,0.0,['FAST_TRACK_SANCTION'],1,tier_1,False,Tier 1 (Operational Watchlist),"[""Sanctioned in 3.0 days — unusually fast relative to this district's own typical timeline""]",Sanctioned in 3.0 days — unusually fast relative to this district's own typical timeline
Normal/Others,WS/MP672/2024-2025/144103-Purchase of hospital equipment,Maharashtra,2.0,NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA),18th Lok Sabha,Nitin Jairam Gadkari,"Purchasing of Solar (Battery Operated) tricycle at CRC, Nagpur.",2024-09-27,555000.0,1.0,250.0,Physical Inspection,LN/MP672/2024-2025/55,555000.0,3.0,NAGPUR,144103.0,True,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",747689.0,2024-09-30,,65089.0,555000.0,2024-10-01,0.0,Andhra Pradesh Medtech zone Ltd,27624.0,"Composite Regional Centre, Nagpur_2",555000.0,Payment Success,3.0,722,1.0,True,2024-25,2024-25,2024-25,Government Agency,False,,,[],0,HEALTH_AND_ASSISTIVE_DEVICES,,,555000.0,,False,not_evaluated,,0,,False,0.0,True,,,,,0.0,['FAST_TRACK_SANCTION'],1,tier_1,False,Tier 1 (Operational Watchlist),"[""Sanctioned in 3.0 days — unusually fast relative to this district's own typical timeline""]",Sanctioned in 3.0 days — unusually fast relative to this district's own typical timeline
Normal/Others,WS/MP672/2024-2025/144104-Purchase of hospital equipment,Maharashtra,2.0,NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA),18th Lok Sabha,Nitin Jairam Gadkari,Purchasing of Speech and Language disorder assesment and intervention software for speech and hearing disabilities.,2024-09-27,670000.0,1.0,250.0,Physical Inspection,LN/MP672/2024-2025/56,670000.0,4.0,NAGPUR,144104.0,True,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",747257.0,2024-09-30,,65044.0,670000.0,2024-09-30,0.0,Voice Tech,32460.0,"Composite Regional Centre, Nagpur_2",670000.0,Payment Success,3.0,722,0.0,True,2024-25,2024-25,2024-25,Government Agency,False,,,[],0,OTHER_PUBLIC_FACILITIES,,,670000.0,0.0825,False,iqr_fallback,1000000.0,6,,False,0.0,True,,,,,3.8,['FAST_TRACK_SANCTION'],1,tier_1,False,Tier 1 (Operational Watchlist),"[""Sanctioned in 3.0 days — unusually fast relative to this district's own typical timeline""]",Sanctioned in 3.0 days — unusually fast relative to this district's own typical timeline
Normal/Others,"WS/MP672/2024-2025/144105-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,2.0,NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA),18th Lok Sabha,Nitin Jairam Gadkari,"Construction of Cement Concerete Road from house of Durga Vikas Dharange to house of Sunita Hedaoo at Galli No.24, Vinoba Bhave Nagar.",2024-09-27,458593.0,1.0,250.0,Physical Inspection,LN/MP672/2024-2025/57,458593.0,5.0,NAGPUR,144105.0,True,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",746343.0,2024-09-30,,64959.0,458593.0,2024-09-30,0.0,CHITANYA CONSTRUCTION,30007.0,Executive Engineer Nagpur Muncipal Corporation Nagpur,458593.0,Payment Success,3.0,722,0.0,True,2024-25,2024-25,2024-25,Government Agency,False,,,[],0,ROADS_AND_DRAINAGE,,,458593.0,0.4891132445572804,False,isolation_forest,999960.5,78,,False,0.0,True,,,,,22.6,['FAST_TRACK_SANCTION'],1,tier_1,False,Tier 1 (Operational Watchlist),"[""Sanctioned in 3.0 days — unusually fast relative to this district's own typical timeline""]",Sanctioned in 3.0 days — unusually fast relative to this district's own typical timeline
Repair and Renovation,WS/MP672/2024-2025/157560-Construction of additional rooms and halls in the existing public and community building,Maharashtra,2.0,NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA),18th Lok Sabha,Nitin Jairam Gadkari,Repair and renovation to Mira Datar Samaj Bhavan at Arvind Nagar.,2024-12-09,998500.0,1.0,250.0,Physical Inspection,LN/MP672/2024-2025/58,998500.0,6.0,NAGPUR,157560.0,True,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",1672981.0,2025-02-11,,132546.0,959212.0,2025-09-19,0.0,Kailash Eknath Suryawanshi,62996.0,Executive Engineer Nagpur Muncipal Corporation Nagpur,959212.0,Payment Success,64.0,649,220.0,True,2024-25,2024-25,2024-25,Government Agency,False,,,"[{'rule_id': 'D4', 'description': 'Just-below-threshold budget positioning (within 1-2% or â‚¹2,000 below key round slabs â‚¹1L, â‚¹10L, â‚¹25L, â‚¹50L, â‚¹1Cr) â€” potential approval ceiling or procurement threshold evasion', 'weight': 15}]",15,COMMUNITY_HALLS_AND_STRUCTURES,,,998500.0,0.1618042396076432,False,isolation_forest,1000000.0,20,,False,0.0,False,,,,,27.7,[],1,tier_1,False,Tier 1 (Operational Watchlist),"['Just-below-threshold budget positioning (within 1-2% or â‚¹2,000 below key round slabs â‚¹1L, â‚¹10L, â‚¹25L, â‚¹50L, â‚¹1Cr) â€” potential approval ceiling or procurement threshold evasion']","Just-below-threshold budget positioning (within 1-2% or â‚¹2,000 below key round slabs â‚¹1L, â‚¹10L, â‚¹25L, â‚¹50L, â‚¹1Cr) â€” potential approval ceiling or procurement threshold evasion"
Normal/Others,"WS/MP672/2024-2025/157636-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,2.0,NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA),18th Lok Sabha,Nitin Jairam Gadkari,Installation of Paver Blocks (I Block) in Arvind Nagar from House of Viju Dahake to Ramjan Ul Haq.,2024-12-09,1000000.0,1.0,250.0,Physical Inspection,LN/MP672/2024-2025/59,1000000.0,7.0,NAGPUR,157636.0,True,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",1562373.0,2025-02-11,,120640.0,956902.0,2025-08-04,0.0,Kailash Eknath Suryawanshi,62996.0,Executive Engineer Nagpur Muncipal Corporation Nagpur,956902.0,Payment Success,64.0,649,174.0,True,2024-25,2024-25,2024-25,Government Agency,False,,,[],0,ROADS_AND_DRAINAGE,,,1000000.0,0.0,False,isolation_forest,999960.5,78,,False,0.0,False,,,,,0.0,[],0,clean,False,Clean,[],No anomalies detected
Normal/Others,WS/MP672/2024-2025/172547-Construction of footpaths and pedestrian ways,Maharashtra,2.0,NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA),18th Lok Sabha,Nitin Jairam Gadkari,"Installation of I-Block near Rehamania Masjid, Ramai Nagar, Nagpur.",2025-02-04,1000000.0,1.0,250.0,Physical Inspection,LN/MP672/2024-2025/62,1000000.0,8.0,NAGPUR,172547.0,True,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",1133324.0,2025-02-07,,88576.0,955761.0,2025-02-17,0.0,JITENDRA FOUJLAL MANE,47350.0,Executive Engineer Nagpur Muncipal Corporation Nagpur,955761.0,Payment Success,3.0,592,10.0,True,2024-25,2024-25,2024-25,Government Agency,False,,,[],0,ROADS_AND_DRAINAGE,,,1000000.0,0.0,False,isolation_forest,999960.5,78,,False,0.0,True,,,,,0.0,['FAST_TRACK_SANCTION'],1,tier_1,False,Tier 1 (Operational Watchlist),"[""Sanctioned in 3.0 days — unusually fast relative to this district's own typical timeline""]",Sanctioned in 3.0 days — unusually fast relative to this district's own typical timeline
Normal/Others,"WS/MP672/2024-2025/181677-Purchase of IT systems, including hardware and software for educational purposes",Maharashtra,2.0,NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA),18th Lok Sabha,Nitin Jairam Gadkari,"Providing 30 Computer Sets to Mahila Mahavidyalaya, Nandanvan, Nagpur.",2025-03-13,1950000.0,1.0,250.0,Work Completed,LN/MP672/2024-2025/63,1950000.0,9.0,NAGPUR,181677.0,True,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",1358857.0,2025-03-31,,97979.0,1949760.0,2025-05-08,0.0,Spectrum Services,27924.0,District Planing Officer District Planning Committee Collector Office Nagpur,1949760.0,Payment Success,18.0,555,38.0,True,2024-25,2024-25,2024-25,Government Agency,False,,,[],0,EDUCATION_AND_IT,computers,30.0,65000.0,,False,not_evaluated,,0,,False,0.0,False,,,,,0.0,[],0,clean,False,Clean,[],No anomalies detected
Normal/Others,"WS/MP672/2025-2026/181697-Construction of cycle tracks, cycle stand and segregated non-motorized vehicle (NMV) lanes",Maharashtra,2.0,NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA),18th Lok Sabha,Nitin Jairam Gadkari,"Construction of 4 Wheeler and 2 Wheeler Parking at Rashtra Sant Tukdoji Maharaj Cancer Hospital and Research Centre, Tukdoji Square, Nagpur for convenience of patients",2025-03-13,1500000.0,1.0,250.0,Physical Inspection,LN/MP672/2024-2025/64,1500000.0,10.0,NAGPUR,181697.0,True,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",1789584.0,2025-11-14,,144202.0,966539.0,2025-11-14,0.0,Palash Premchand Musale,67717.0,Executive Engineer Nagpur Muncipal Corporation Nagpur,966539.0,Payment Success,246.0,555,0.0,True,2025-26,2024-25,2025-26,Government Agency,False,,,"[{'rule_id': 'R1', 'description': 'Work not sanctioned within 75 days of recommendation receipt', 'weight': 15}]",15,OTHER_PUBLIC_FACILITIES,,,1500000.0,0.125,False,iqr_fallback,1000000.0,6,,False,0.0,False,,,,,26.0,[],1,tier_1,False,Tier 1 (Operational Watchlist),['Work not sanctioned within 75 days of recommendation receipt'],Work not sanctioned within 75 days of recommendation receipt
Normal/Others,WS/MP672/2024-2025/181699-Construction of community centers and community halls,Maharashtra,2.0,NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA),18th Lok Sabha,Nitin Jairam Gadkari,"Construction of Community Hall at Saroj Nagar Society, Hajari Pahad, Nagpur.",2025-03-13,4996000.0,1.0,250.0,Pending for Sanction,LN/MP672/2024-2025/65,4996000.0,11.0,NAGPUR,181699.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,2025-03-22,,,,,,,,,,,9.0,555,,False,2024-25,2024-25,2024-25,Government Agency,False,,,"[{'rule_id': 'D1', 'description': 'Sanction amount is a statistical outlier (beyond 1.5x IQR) for its work category', 'weight': 15}, {'rule_id': 'D4', 'description': 'Just-below-threshold budget positioning (within 1-2% or â‚¹2,000 below key round slabs â‚¹1L, â‚¹10L, â‚¹25L, â‚¹50L, â‚¹1Cr) â€” potential approval ceiling or procurement threshold evasion', 'weight': 15}]",30,COMMUNITY_HALLS_AND_STRUCTURES,,,4996000.0,0.5760222406020833,False,isolation_forest,1000000.0,20,,False,0.168,False,0.168,INDEPENDENT_PARALLEL_WORKS,[215174.0],"Independent parallel works candidate: Standardized administrative template applied across disjoint locations/beneficiaries (Distinct villages/areas: Saroj Nagar Society vs Hajari Pahad, Mouza Hajari Pahad); low duplicate risk.",57.6,[],1,tier_1,False,Tier 1 (Operational Watchlist),"['Sanction amount is a statistical outlier (beyond 1.5x IQR) for its work category', 'Just-below-threshold budget positioning (within 1-2% or â‚¹2,000 below key round slabs â‚¹1L, â‚¹10L, â‚¹25L, â‚¹50L, â‚¹1Cr) â€” potential approval ceiling or procurement threshold evasion', 'Independent parallel works candidate: Standardized administrative template applied across disjoint locations/beneficiaries (Distinct villages/areas: Saroj Nagar Society vs Hajari Pahad, Mouza Hajari Pahad); low duplicate risk.']","Sanction amount is a statistical outlier (beyond 1.5x IQR) for its work category; Just-below-threshold budget positioning (within 1-2% or â‚¹2,000 below key round slabs â‚¹1L, â‚¹10L, â‚¹25L, â‚¹50L, â‚¹1Cr) â€” potential approval ceiling or procurement threshold evasion; Independent parallel works candidate: Standardized administrative template applied across disjoint locations/beneficiaries (Distinct villages/areas: Saroj Nagar Society vs Hajari Pahad, Mouza Hajari Pahad); low duplicate risk."
Normal/Others,WS/MP672/2025-2026/181702-Construction of community centers and community halls,Maharashtra,2.0,NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA),18th Lok Sabha,Nitin Jairam Gadkari,Construction of Community Hall on Plot No.134 (Land of NIT) at Mahalgi Nagar.,2025-03-13,3000000.0,1.0,250.0,Physical Inspection,LN/MP672/2024-2025/66,3000000.0,12.0,NAGPUR,181702.0,True,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",1815842.0,2025-11-26,,146574.0,2232096.0,2025-11-27,0.0,Nandkishor Namdeorao Thote,69991.0,Executive Engineer Nagpur Muncipal Corporation Nagpur,2232096.0,Payment Success,258.0,555,1.0,True,2025-26,2024-25,2025-26,Government Agency,False,,,"[{'rule_id': 'R1', 'description': 'Work not sanctioned within 75 days of recommendation receipt', 'weight': 15}, {'rule_id': 'D1', 'description': 'Sanction amount is a statistical outlier (beyond 1.5x IQR) for its work category', 'weight': 15}]",30,COMMUNITY_HALLS_AND_STRUCTURES,,,3000000.0,0.5351733202094915,False,isolation_forest,1000000.0,20,,False,0.0,False,,,,,65.1,[],1,tier_1,False,Tier 1 (Operational Watchlist),"['Work not sanctioned within 75 days of recommendation receipt', 'Sanction amount is a statistical outlier (beyond 1.5x IQR) for its work category']",Work not sanctioned within 75 days of recommendation receipt; Sanction amount is a statistical outlier (beyond 1.5x IQR) for its work category
Normal/Others,NA-Setting up of laboratories,Maharashtra,2.0,NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA),18th Lok Sabha,Nitin Jairam Gadkari,"Setting up of Modular Science Laboratory at Jawahar Gurukul Vidyalaya, Nandanvan, Nagpur.",2025-03-13,1810000.0,1.0,250.0,Pending for Sanction,LN/MP672/2024-2025/67,1810000.0,13.0,NAGPUR,181710.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,,,,,,,,,,,,,555,,False,,2024-25,2024-25,Government Agency,False,,,"[{'rule_id': 'R2', 'description': 'No sanction and no rejection recorded 45+ days after recommendation', 'weight': 10}]",10,EDUCATION_AND_IT,,,1810000.0,,False,not_evaluated,,0,,False,0.0,False,,,,,25.0,[],1,tier_1,False,Tier 1 (Operational Watchlist),['No sanction and no rejection recorded 45+ days after recommendation'],No sanction and no rejection recorded 45+ days after recommendation
Normal/Others,"WS/MP672/2024-2025/185152-Purchase of IT systems, including hardware and software for educational purposes",Maharashtra,2.0,NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA),18th Lok Sabha,Nitin Jairam Gadkari,Purchase of 6 Computers along with 3 Printers,2025-03-21,435000.0,1.0,250.0,Work Completed,LN/MP672/2024-2025/69,435000.0,14.0,NAGPUR,185152.0,True,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",1288710.0,2025-03-22,,97924.0,435000.0,2025-03-30,0.0,Shri Jaitai Enterprises Sharda Katore,32409.0,District Planing Officer District Planning Committee Collector Office Nagpur,435000.0,Payment Success,1.0,547,8.0,True,2024-25,2024-25,2024-25,Government Agency,False,,,[],0,EDUCATION_AND_IT,computers,6.0,72500.0,,False,not_evaluated,,0,,False,0.0,True,,,,,0.0,['FAST_TRACK_SANCTION'],1,tier_1,False,Tier 1 (Operational Watchlist),"[""Sanctioned in 1.0 days — unusually fast relative to this district's own typical timeline""]",Sanctioned in 1.0 days — unusually fast relative to this district's own typical timeline
Normal/Others,WS/MP672/2024-2025/185160-Development of playfields and sports grounds,Maharashtra,2.0,NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA),18th Lok Sabha,Nitin Jairam Gadkari,"Installation of Li-Ning Matin at Badminton Court of NMC Badminton Hall at Vivekanand Nagar, Nagpur",2025-03-21,1000000.0,1.0,250.0,Physical Inspection,LN/MP672/2024-2025/71,1000000.0,15.0,NAGPUR,185160.0,True,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",1264088.0,2025-03-22,,96516.0,992000.0,2025-03-25,0.0,SPORTS ORBIT EVENTS,51356.0,Executive Engineer Nagpur Muncipal Corporation Nagpur,992000.0,Payment Success,1.0,547,3.0,True,2024-25,2024-25,2024-25,Government Agency,False,,,[],0,OTHER_PUBLIC_FACILITIES,,,1000000.0,0.0,False,iqr_fallback,1000000.0,6,,False,0.0,True,,,,,0.0,['FAST_TRACK_SANCTION'],1,tier_1,False,Tier 1 (Operational Watchlist),"[""Sanctioned in 1.0 days — unusually fast relative to this district's own typical timeline""]",Sanctioned in 1.0 days — unusually fast relative to this district's own typical timeline
Normal/Others,"WS/MP672/2025-2026/198594-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,2.0,NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA),18th Lok Sabha,Nitin Jairam Gadkari,"Construction of road at Mouza - Zingabai Takli, Khasra No.110, Nasheman Society, Nagpur.",2025-05-11,1000000.0,1.0,250.0,Work Completed,LN/MP672/2025-2026/72,1000000.0,16.0,NAGPUR,198594.0,True,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",2048086.0,2026-02-25,,165997.0,943737.0,2026-02-26,0.0,Shubham Ramdas Zade,82060.0,Executive Engineer Nagpur Muncipal Corporation Nagpur,943737.0,Payment Success,290.0,496,1.0,True,2025-26,2025-26,2025-26,Government Agency,False,,,"[{'rule_id': 'R1', 'description': 'Work not sanctioned within 75 days of recommendation receipt', 'weight': 15}]",15,ROADS_AND_DRAINAGE,,,1000000.0,0.0,False,isolation_forest,999960.5,78,,False,0.0,False,,,,,20.2,[],1,tier_1,False,Tier 1 (Operational Watchlist),['Work not sanctioned within 75 days of recommendation receipt'],Work not sanctioned within 75 days of recommendation receipt
Normal/Others,"WS/MP672/2025-2026/198595-Purchase of smart boards, visual display units and projectors",Maharashtra,2.0,NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA),18th Lok Sabha,Nitin Jairam Gadkari,"Upgradation of Class rooms to Smart Class Rooms at Shri Mathuradas Mohota College of Science, Nagpur",2025-05-11,500000.0,1.0,250.0,Work partially Completed,LN/MP672/2025-2026/73,500000.0,17.0,NAGPUR,198595.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,2026-02-09,,,,,,Highstone Technologies Private Limited,88389.0,District Planing Officer District Planning Committee Collector Office Nagpur,449900.0,Payment In-Progress,274.0,496,,False,2025-26,2025-26,2025-26,Government Agency,False,,,"[{'rule_id': 'R1', 'description': 'Work not sanctioned within 75 days of recommendation receipt', 'weight': 15}]",15,EDUCATION_AND_IT,,,500000.0,,False,not_evaluated,,0,,False,0.0,False,,,,,37.5,[],1,tier_1,False,Tier 1 (Operational Watchlist),['Work not sanctioned within 75 days of recommendation receipt'],Work not sanctioned within 75 days of recommendation receipt
Normal/Others,NA-Purchase of furniture and fixtures for educational purposes,Maharashtra,2.0,NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA),18th Lok Sabha,Nitin Jairam Gadkari,"Purchasing and installation of various items required for library cum study center at Sant Tukaram Maharaj Prabodhini, Ramna Maroti branch of Bawane Kunbi Samaj Seva Mandal, Sakkardara, Nagpur.",2025-05-11,1500000.0,1.0,250.0,Pending for Sanction,LN/MP672/2025-2026/74,1500000.0,18.0,NAGPUR,198599.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,,,,,,,,,,,,,496,,False,,2025-26,2025-26,Government Agency,False,,,"[{'rule_id': 'R2', 'description': 'No sanction and no rejection recorded 45+ days after recommendation', 'weight': 10}]",10,COMMUNITY_HALLS_AND_STRUCTURES,,,1500000.0,,False,not_evaluated,,0,,False,0.0,False,,,,,25.0,[],1,tier_1,False,Tier 1 (Operational Watchlist),['No sanction and no rejection recorded 45+ days after recommendation'],No sanction and no rejection recorded 45+ days after recommendation
Normal/Others,"WS/MP672/2026-2027/215081-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,2.0,NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA),18th Lok Sabha,Nitin Jairam Gadkari,Construction of Cement Concrete Road at Malik Mouza Society Arya Nagar Prabhag No.1,2025-07-05,2000000.0,1.0,250.0,Physical Inspection,LN/MP672/2025-2026/75,2000000.0,19.0,NAGPUR,215081.0,True,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",2190943.0,2026-05-14,,178886.0,1203802.0,2026-05-14,0.0,D M Traders,87730.0,Executive Engineer Nagpur Muncipal Corporation Nagpur,1203802.0,Payment Success,313.0,441,0.0,True,2026-27,2025-26,2026-27,Government Agency,False,,,"[{'rule_id': 'R1', 'description': 'Work not sanctioned within 75 days of recommendation receipt', 'weight': 15}]",15,ROADS_AND_DRAINAGE,,,2000000.0,0.7460170792411484,True,isolation_forest,999960.5,78,"Sanction amount is 2.0x the ROADS_AND_DRAINAGE median (above typical, based on 78 comparable sanctioned works in this activity)",False,0.0,False,,,,,54.6,['COST_OUTLIER'],2,tier_2,True,Tier 2 (Actionable Red Flag),"['Work not sanctioned within 75 days of recommendation receipt', 'Sanction amount is 2.0x the ROADS_AND_DRAINAGE median (above typical, based on 78 comparable sanctioned works in this activity)']","Work not sanctioned within 75 days of recommendation receipt; Sanction amount is 2.0x the ROADS_AND_DRAINAGE median (above typical, based on 78 comparable sanctioned works in this activity)"
Normal/Others,"WS/MP672/2026-2027/215119-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,2.0,NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA),18th Lok Sabha,Nitin Jairam Gadkari,"Construction of Cement Concrete Road at Sai Sevashram Society, Arya Nagar, Nagpur.",2025-07-05,2000000.0,1.0,250.0,Pending for Sanction,LN/MP672/2025-2026/76,2000000.0,20.0,NAGPUR,215119.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,2026-07-22,,,,,,,,,,,382.0,441,,False,2026-27,2025-26,2026-27,Government Agency,False,,,"[{'rule_id': 'R1', 'description': 'Work not sanctioned within 75 days of recommendation receipt', 'weight': 15}]",15,ROADS_AND_DRAINAGE,,,2000000.0,0.7460170792411484,True,isolation_forest,999960.5,78,"Sanction amount is 2.0x the ROADS_AND_DRAINAGE median (above typical, based on 78 comparable sanctioned works in this activity)",False,0.0,False,,,,,54.6,['COST_OUTLIER'],2,tier_2,True,Tier 2 (Actionable Red Flag),"['Work not sanctioned within 75 days of recommendation receipt', 'Sanction amount is 2.0x the ROADS_AND_DRAINAGE median (above typical, based on 78 comparable sanctioned works in this activity)']","Work not sanctioned within 75 days of recommendation receipt; Sanction amount is 2.0x the ROADS_AND_DRAINAGE median (above typical, based on 78 comparable sanctioned works in this activity)"
